epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,4580.7,0.81667,0.63879,1.14641,0.64075,0.60264,0.63522,0.42606,1.29337,1.11195,1.57943,0.000314916,0.000314916,0.000314916
65,4651.17,0.81551,0.62772,1.13932,0.63604,0.58416,0.61071,0.4177,1.2795,1.15249,1.56653,0.000297232,0.000297232,0.000297232
66,4721.6,0.80901,0.62444,1.14164,0.63498,0.5755,0.61685,0.41714,1.31131,1.1648,1.58482,0.000279548,0.000279548,0.000279548
67,4792.12,0.80687,0.61683,1.13835,0.6052,0.6164,0.61368,0.42272,1.27188,1.17173,1.54272,0.000261864,0.000261864,0.000261864
68,4862.66,0.79684,0.61501,1.13035,0.68084,0.56246,0.61842,0.41812,1.28572,1.15547,1.56574,0.00024418,0.00024418,0.00024418
69,4934.96,0.79822,0.59976,1.12902,0.57314,0.65781,0.61125,0.41311,1.30068,1.16898,1.60055,0.000226497,0.000226497,0.000226497
70,5005.82,0.79195,0.58675,1.12541,0.62354,0.60141,0.62397,0.42539,1.29339,1.17614,1.59003,0.000208813,0.000208813,0.000208813
71,5077.21,0.77242,0.5081,1.12648,0.61287,0.6365,0.62537,0.42036,1.30651,1.14835,1.57057,0.000191129,0.000191129,0.000191129
72,5147.67,0.7388,0.45711,1.10117,0.61617,0.6229,0.61479,0.41552,1.32054,1.19397,1.60156,0.000173445,0.000173445,0.000173445
73,5218.01,0.72924,0.44673,1.10052,0.63571,0.60963,0.61482,0.4093,1.32471,1.18016,1.60618,0.000155761,0.000155761,0.000155761
74,5288.27,0.71637,0.45297,1.09,0.63617,0.62113,0.61541,0.4156,1.31115,1.17175,1.58868,0.000138077,0.000138077,0.000138077
75,5358.5,0.71104,0.4383,1.08876,0.64822,0.5816,0.60858,0.41483,1.30729,1.19273,1.60878,0.000120393,0.000120393,0.000120393
76,5428.79,0.7098,0.43615,1.087,0.58454,0.6493,0.61652,0.41274,1.31649,1.17369,1.62764,0.000102709,0.000102709,0.000102709
77,5499.1,0.70007,0.42905,1.07226,0.64034,0.57905,0.61159,0.41095,1.30693,1.18406,1.6079,8.50255e-05,8.50255e-05,8.50255e-05
78,5569.39,0.69107,0.42629,1.07253,0.62997,0.5887,0.61281,0.41411,1.31529,1.20208,1.61948,6.73416e-05,6.73416e-05,6.73416e-05
79,5639.7,0.68449,0.41648,1.06555,0.59346,0.6193,0.61113,0.40972,1.31941,1.19315,1.63795,4.96578e-05,4.96578e-05,4.96578e-05
80,5710.05,0.68085,0.41111,1.05877,0.59461,0.62543,0.61226,0.41099,1.31961,1.20174,1.63521,3.19739e-05,3.19739e-05,3.19739e-05
