epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2670.49,0.91221,0.73683,1.19729,0.61956,0.59349,0.60715,0.41878,1.27079,1.13028,1.49368,0.000367967,0.000367967,0.000367967
62,2714.2,0.92503,0.74754,1.19445,0.62487,0.59603,0.61296,0.42222,1.27108,1.14192,1.49664,0.000350284,0.000350284,0.000350284
63,2757.74,0.9034,0.73272,1.18627,0.62884,0.5906,0.60721,0.41368,1.27359,1.16016,1.4931,0.0003326,0.0003326,0.0003326
64,2801.37,0.89927,0.72382,1.19025,0.60621,0.60851,0.6015,0.40972,1.27908,1.15122,1.51921,0.000314916,0.000314916,0.000314916
65,2844.84,0.89882,0.71447,1.18297,0.65134,0.6089,0.61588,0.41601,1.29527,1.13468,1.5418,0.000297232,0.000297232,0.000297232
66,2888.26,0.89272,0.72039,1.18453,0.6545,0.60797,0.61414,0.4116,1.31744,1.14006,1.53291,0.000279548,0.000279548,0.000279548
67,2931.77,0.88858,0.70961,1.18227,0.62043,0.60809,0.61061,0.42428,1.25348,1.14983,1.51386,0.000261864,0.000261864,0.000261864
68,2975.31,0.87774,0.7043,1.17289,0.65011,0.60158,0.61355,0.42143,1.27002,1.15041,1.51231,0.00024418,0.00024418,0.00024418
69,3018.74,0.88326,0.70121,1.17471,0.63792,0.5846,0.60571,0.41979,1.26826,1.15004,1.53787,0.000226497,0.000226497,0.000226497
70,3062.33,0.87653,0.68078,1.16911,0.62606,0.62113,0.61505,0.42167,1.27336,1.14576,1.51906,0.000208813,0.000208813,0.000208813
71,3106.68,0.86805,0.60212,1.18329,0.62419,0.64193,0.62121,0.41796,1.29552,1.11657,1.52388,0.000191129,0.000191129,0.000191129
72,3150.04,0.8369,0.55905,1.15889,0.62182,0.63607,0.61078,0.41045,1.30387,1.14342,1.54133,0.000173445,0.000173445,0.000173445
73,3193.39,0.82626,0.54223,1.16119,0.6618,0.5934,0.60947,0.40719,1.30376,1.1415,1.53522,0.000155761,0.000155761,0.000155761
74,3236.71,0.81591,0.54649,1.14924,0.63631,0.60714,0.59838,0.40668,1.29853,1.16672,1.52868,0.000138077,0.000138077,0.000138077
75,3280.27,0.81695,0.53604,1.15241,0.6193,0.61961,0.60346,0.41258,1.27396,1.16108,1.52227,0.000120393,0.000120393,0.000120393
76,3323.73,0.81309,0.5294,1.14775,0.63707,0.62043,0.60135,0.41193,1.29068,1.16102,1.53354,0.000102709,0.000102709,0.000102709
77,3367.04,0.80462,0.52352,1.1372,0.61705,0.62311,0.60014,0.41176,1.28456,1.17023,1.52267,8.50255e-05,8.50255e-05,8.50255e-05
78,3410.39,0.80127,0.52568,1.1369,0.60996,0.61591,0.59965,0.41032,1.29878,1.17624,1.54039,6.73416e-05,6.73416e-05,6.73416e-05
79,3453.64,0.79799,0.51885,1.13423,0.61383,0.63198,0.60537,0.4114,1.29793,1.16406,1.54471,4.96578e-05,4.96578e-05,4.96578e-05
80,3496.97,0.79423,0.51459,1.12646,0.60951,0.63172,0.59977,0.41018,1.29335,1.17684,1.53535,3.19739e-05,3.19739e-05,3.19739e-05
